cohort_id,First_Author,Publication_Title,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
77,Driebe,Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition,0.9646858883434116,0.9529145177912155,0.15407542262613322,NA,NA,NA,2.3808621686765643,-0.7617243373531286,-1.9891356151133475,0.0712177075722647,3,4
79,Driebe,Cottonwood hybridization affects tannin and nitrogen content of leaf litter and alters decomposition,0.9743526164945466,0.9658034886593955,0.17922026915750758,NA,NA,NA,1.7761687148840157,0.44766257023196854,-0.7797487075282503,0.09635971463066838,3,4
114,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.9834394223387449,0.9792992779234312,0.04922193014165685,NA,NA,NA,8.520246313299683,-13.040492626599367,-13.821616801731166,0.009691193627480589,4,5
115,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.9910474356350146,0.9892569227620176,0.05612843311795679,NA,NA,NA,9.314010065059422,-14.628020130118845,-15.044501191662736,0.01575200502138474,5,6
116,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.977578217560702,0.9730938610728423,0.0938286566726133,NA,NA,NA,6.231043239501515,-8.46208647900303,-8.878567540546921,0.044019084064935696,5,6
117,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.9852192493965654,0.9822630992758784,0.09452518853751556,NA,NA,NA,6.186667078926694,-8.373334157853389,-8.78981521939728,0.044675056340264314,5,6
118,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.9860344191130604,0.9832413029356726,0.04725469249425095,NA,NA,NA,10.346553378708995,-16.69310675741799,-17.10958781896188,0.011165029813631083,5,6
119,Ferreira,Eucalyptus plantations affect fungal communities associated with leaf-litter decomposition in Iberian streams,0.9978132718742272,0.9973759262490727,0.015832237122471705,NA,NA,NA,16.90757603141384,-29.81515206282768,-30.23163312437157,0.001253298661510856,5,6
132,Ferreiro,Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream,0.9674028963408257,0.9627461672466578,0.18732633362564471,NA,NA,NA,2.5818419723991557,-1.1636839447983114,-1.00480086143864,0.24563808688738442,7,8
133,Ferreiro,Phosphorus enrichment affects immobilization but not litter decomposition or exoenzymatic activites in a Pampean stream,0.9751641988963898,0.9716162273101598,0.17004487507596372,NA,NA,NA,3.3561605507088546,-2.712321101417709,-2.5534380180580376,0.20240681677720074,7,8
134,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,0.9886217093752383,0.9857771367190479,0.14409624733103887,NA,NA,NA,3.149535304422553,-2.2990706088451063,-3.0801947839769057,0.08305491397955171,4,5
135,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,0.9645665907956485,0.9557082384945607,0.17077995069230778,NA,NA,NA,2.3000631583784066,-0.6001263167568132,-1.3812504918886126,0.11666316623386831,4,5
136,Fleituch,Ash tree leaf litter (Fraxinus excelsior L.) breakdown in two different biotopes and streams,0.9887216214520748,0.9859020268150934,0.06572377319137816,NA,NA,NA,7.07463908388176,-10.14927816776352,-10.930402342895318,0.017278457450046875,4,5
150,Gessner,Differences in processing dynamics of fresh and dried leaf litter in a stream ecosystem,0.989307214321548,0.9877796735103406,0.063622076002578,NA,NA,NA,11.220975400100473,-18.441950800200946,-18.283067716841273,0.02833437988414469,7,8
164,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,0.9987775446319682,0.9985738020706296,0.05794268212673678,NA,NA,NA,10.545064620784183,-17.090129241568366,-17.19830894345774,0.020144126472240374,6,7
165,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,0.9764711211313496,0.9725496413199078,0.25021756507413245,NA,NA,NA,0.30492900192478084,3.3901419961504384,3.281962294261065,0.3756529792297662,6,7
166,Grimmett,Tar-spot infection delays fungal colonization and decomposition of maple leaves,0.9789596162014526,0.9754528855683613,0.2961435347928768,NA,NA,NA,-0.8746651615839174,5.749330323167834,5.641150621278461,0.526205959197719,6,7
167,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9788576235912976,0.974629148309557,0.07464259509900113,NA,NA,NA,7.603597200194056,-11.207194400388111,-11.623675461932002,0.02785758501556714,5,6
168,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9894017481789139,0.9867521852236424,0.07979137185975631,NA,NA,NA,6.104865724413044,-8.209731448826089,-8.990855623957888,0.025466652093047645,4,5
169,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9954942933001472,0.9945931519601766,0.026298261858458453,NA,NA,NA,13.862848057240182,-23.725696114480364,-24.142177176024255,0.0034579928838802537,5,6
170,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9723811787314343,0.9654764734142929,0.13865696406067246,NA,NA,NA,3.341927615028924,-2.6838552300578478,-3.464979405189647,0.07690301473009045,4,5
171,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9921877857392072,0.990234732174009,0.039896380340463625,NA,NA,NA,9.570514599690119,-15.141029199380238,-15.922153374512037,0.006366884657083729,4,5
173,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9979654058418788,0.9975584870102545,0.022523492678017235,NA,NA,NA,14.792511843925293,-25.585023687850587,-26.001504749394478,0.00253653861208348,5,6
174,Gulis,Stimulation of leaf litter decomposition and associated fungi and invertebrates by moderate eutrophication: implications for stream assessment,0.9723926691779035,0.9654908364723793,0.2942245626732543,NA,NA,NA,-0.4197738647982058,4.839547729596411,4.058423554464612,0.34627237312107095,4,5
186,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,1.812986607347358e-16,NA,NA,NA,139.8851537847698,-275.7703075695396,-276.99771884729984,9.86076131526265e-32,3,4
187,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,1.812986607347358e-16,NA,NA,NA,139.8851537847698,-275.7703075695396,-276.99771884729984,9.86076131526265e-32,3,4
188,Kominoski,Does mixing litter of different qualities alter stream microbial diversity and functioning on individual litter species?,1,1,4.532466518368395e-17,NA,NA,NA,145.4303312292494,-286.8606624584988,-288.088073736259,6.162975822039156e-33,3,4
